GEOID20,CNTY,vtd6,Name
48347000022,347,000022,000022
4831100004B,311,00004B,004B
48013000023,13,000023,000023
48189000308,189,000308,000308
48113001035,113,001035,001035
48113001012,113,001012,001012
48485000315,485,000315,000315
48005000036,5,000036,000036
48439003662,439,003662,003662
48113002078,113,002078,002078
48013000016,13,000016,000016
48485000113,485,000113,000113
48113003410,113,003410,003410
48055000407,55,000407,000407
4827700001D,277,00001D,00001D
48057000014,57,000014,000014
48055000107,55,000107,000107
48097000030,97,000030,000030
48485000112,485,000112,000112
48057000013,57,000013,000013
48055000117,55,000117,000117
48395000018,395,000018,0018
48485000117,485,000117,000117
48347000025,347,000025,000025
48057000017,57,000017,000017
48423000065,423,000065,000065
48113003402,113,003402,003402
48291000027,291,000027,000027
48097000028,97,000028,000028
48113004106,113,004106,004106
48209000318,209,000318,000318
48113001122,113,001122,001122
48113001069,113,001069,001069
48451000305,451,000305,000305
48423000070,423,000070,000070
48453000444,453,000444,000444
48113001028,113,001028,001028
48439004692,439,004692,004692
48055000410,55,000410,000410
48057000021,57,000021,000021
48113001000,113,001000,001000
48485000114,485,000114,000114
48485000319,485,000319,000319
48187000111,187,000111,000111
48055000105,55,000105,000105
48055000409,55,000409,000409
48113001126,113,001126,001126
48485000116,485,000116,000116
48439004688,439,004688,004688
48055000109,55,000109,000109
48057000020,57,000020,000020
48113003406,113,003406,003406
48113001042,113,001042,001042
48477000316,477,000316,000316
48113004121,113,004121,004121
48055000115,55,000115,000115
4803700004E,37,00004E,00004E
48113004104,113,004104,004104
48055000112,55,000112,000112
48303000096,303,000096,000096
48459000021,459,000021,000021
48055000307,55,000307,000307
48055000114,55,000114,000114
48113004124,113,004124,004124
48439004690,439,004690,004690
48055000116,55,000116,000116
48453000119,453,000119,000119
48113004103,113,004103,004103
48113004540,113,004540,004540
